id,name,parent_id
744, سب تحصیل جلال پور بھٹیاں ,336
745, سب تحصیل فیضانِ مدینہ پنڈی بھٹیاں ,336
746, سکھیکی منڈی,336
747, سب تحصیل نمبر 1,337
748, سب تحصیل نمبر 2 ,337
749, سب تحصیل نمبر 3,337
750, کالیکی منڈی,337
751, کسوکی,337
752, ونیکے تارڑ,337
753, بزرگوال,338
754, ٹانڈہ,338
755, جلالپور صوبتیاں,338
756, جلالپورجٹاں(شہر و اطراف),338
757, فتح پور,338
758, کڑیانوالہ,338
759, سرائے عالمگیر,339
760, شادیوال,340
761, کنجاہ سب تحصیل,340
762, منگووال غربی,340
763, اطراف لالہ موسیٰ,341
764, پسوال,341
765, ڈنگہ,341
766, کھاریاں,341
767, کوٹلہ عرب علی خاں یوسی ,341
768, گلیانہ,341
769, لالہ موسیٰ میونسپل کمیٹی ,341
770, جی ٹی روڈ  ایریا,342
771, خواجگان ,342
772, سرگودھا روڈ ,342
773, فیضان مدینہ ,342
774, مدینہ سیداں ,342
775, اطراف پھالیہ,343
776, پاہڑیانوالی,343
777, پھالیہ,343
778, جوکالیاں,343
779, قادر آباد,343
780, ہیلاں,343
781, گوجرہ,344
782, ملکوال,344
783, میانہ گوندل,344
784, چیلیانوالہ,345
785, سب تحصیل رسول ,345
786, سب تحصیل مانگٹ  ,345
787, کٹھیالہ شیخاں,345
788, منڈی بہاؤالدین,345
789, علی پور چھٹہ,346
790, وزیرآباد,347
791,  پسرور سٹی,348
792, پسرور,348
793, چوبارہ,348
794, کلاس والا,348
795, کھڑانہ موڑ,348
796, بھروکی,349
797, جامکے,349
798, کنڈن سیان,349
799, کوریکی,349
800, منڈیکی,349
801, رندھیر,350
802, روڑس,350
803, اگوکی ,351
804, ڈالوالی ,351
805, ہیڈ مرالہ,351
806, سب ٹاؤن اکبر آباد,352
807, سب ٹاؤن سٹی ہاؤسنگ,352
808, سیالکوٹ کینٹ,353
809, سب ٹاؤن حاجی پورہ,354
810, سب ٹاؤن مبارک پورہ ,354
811, سب ٹاؤن نیکا پورہ,354
812, امام صاحب,355
813, رنگپورہ,355
814, سب ٹاون پاکپورہ,355
815, کوپرہ,356
816, گوہدپور ٹاؤن,356
817, سادھوکی سب تحصیل,357
818, کامونکی سب تحصیل,357
819, مچھرالہ,357
820, واینڈو سب تحصیل,357
821, تلونڈی موسیٰ خان,358
822, قلعہ دیدار سنگھ,358
823, مرالی والا,358
824, منڈیالہ تیگہ,358
825, بھڑی موڑ,359
826, تتلےعالی,359
827, سب تحصیل نوشہرہ ورکاں,359
828, نوکھر,359
829, سیالکوٹ روڈ,360
830, شاہین آباد,360
831, فتومنڈ,360
832, باغبانپورہ سب ٹاؤن,361
833, علی پور چوک سب ٹاؤن,361
834, کالج روڈ,361
835, ماڈل ٹاؤن سب ٹاؤن ,361
836,  حافظ آباد روڈ سب ٹاؤن ,362
837, عالم چوک,362
838, نوشہرہ روڈ سب ٹاؤن ,362
839, چن دا قلعہ سب ٹاؤن,363
840, کھیالی,363
